,"Number","Part","Example","Notes"
"Required Parts",,,,
,1,"128GB Micro-SD Card","https://www.amazon.com/dp/B09X7BK27V?ref=ppx_yo2ov_dt_b_fed_asin_title","You can go bigger if you want to store more video on the Pi."
,1,"Raspberry Pi Zero 2W","https://www.amazon.com/dp/B09LH5SBPS?ref=ppx_yo2ov_dt_b_fed_asin_title","You can also get the pre-soldered version if you prefer not to add the header pins yourself"
,1,"(Option 1) Arducam for Raspberry Pi Camera Model 3 NoIR","https://www.amazon.com/dp/B0FNCVM946?ref=ppx_yo2ov_dt_b_fed_asin_title","Get one of the two options (see README.md for discussion)"
,1,"(Option 2) Waveshare IMX462 IR-Cut Camera","https://www.pishop.us/product/imx462-2mp-ir-cut-camera-90-dfov-starlight-camera-sensor-fixed-focus-for-raspberry-pi/","Get one of the two options (see README.md for discussion)"
,1,"Pinfox Waterproof Plastic Project Box (158mm x 90mm x 60mm)","https://www.amazon.com/dp/B07TS6RY85?ref=ppx_yo2ov_dt_b_fed_asin_title","If using wired power or a battery, you can get away with a smaller box."
,1,"AM312 PIR Motion Sensor","https://www.amazon.com/dp/B0CCF52DVJ?ref=ppx_yo2ov_dt_b_fed_asin_title",
,2,"850nm through-hole LEDs","https://www.amazon.com/dp/B01BVGIZIU?ref=ppx_yo2ov_dt_b_fed_asin_title",
,1,"red through-hole LED","https://www.amazon.com/OWOFYDR-diffused-Electronic-Component-Indicator/dp/B09B9BYS8V?crid=16S9P0N9NDAZW&dib=eyJ2IjoiMSJ9.qaxGniTC0_QAN52lIOtxvEX5FB6xPFPUWt75Ge7PFeRmy3xhFBQmKJjIzQwyd4FvGWfnkgm_t3rXr9Zg3dwUYmkL2w0IJ8t_NckhLreaWPpaevS_y7XF5zu8vakdd9tjmgS9UXtE-PdCAbenNGRkwvw1E6gofb_n6mS9Dl9NUgFlBi6iRIpL_f0VJ5wAO8qLLj60KabVPym1zJ2x3Vf3XCMoi-kQ_RrGm9SP2DWQo1Y.iChU24KcRqg_GcVBuxLnLIbOQYKZ8wT15zTUAU390ds&dib_tag=se&keywords=red+through+hole+led&qid=1776608468&sprefix=red+through+hole+le%2Caps%2C251&sr=8-3","For testing"
,1,"MOSFET board","https://www.amazon.com/dp/B0F6K4LX6Y?ref=ppx_yo2ov_dt_b_fed_asin_title","For controlling the IR LEDs"
,3,"680-ohm resistors","https://www.amazon.com/680-Ohm-Resistor-1-Pack/dp/B0FKVTVFQF?crid=2G8F9K5RMS43D&dib=eyJ2IjoiMSJ9.IHOrkKp-QnX2uYhg9lpvapi83MXa-C_FiJfxwPVSaKzSyQujL_DaulUSjVajBbdkN8--gQOTkU62tV6J_0YtyJFgpnD6bPuLQSAQ-EtzfuGKhVXGRryHk1gTy9qmWylgxqd6fqfFkP_ENMS4ViIBfvfU_k0ADR052ueYiJ4nUTieR7PMEeo7NwfFK074FDdfmPbKS6bbhHK64V8aIBRrVuPaGyiD95T0HjH3QYIF2Lc.hPZXMJssHr0lkpJoF342dOMzTWOa939-G9DGqSq2S7s&dib_tag=se&keywords=680%2Bohm%2Bresistor&qid=1776606772&sprefix=680%2Bohm%2Bre%2Caps%2C226&sr=8-3&th=1",
,1,"Ribbon cable","https://www.amazon.com/dp/B07T8TLCFZ?ref=ppx_yo2ov_dt_b_fed_asin_title","For connecting the camera to the Pi"
"Solar or External Battery Power Only",,,,
,1,"PI Zero SeenGreat UPS Hat with Solar","https://www.amazon.com/dp/B0G42JBBWB?ref=ppx_yo2ov_dt_b_fed_asin_title","Allows for solar power and provides small local battery power for the system"
,1,"3.7v 10,000 mAh 1S LiPo battery","https://www.amazon.com/dp/B093WS6C66?ref=ppx_yo2ov_dt_b_fed_asin_title",
,1,"Outside USB-C power-only cable","https://www.amazon.com/dp/B0CP3QQ633?ref=ppx_yo2ov_dt_b_fed_asin_title","This allows you to power the system from the base of the tree where it is installed"
,1,"Short USB-C cable","https://www.amazon.com/dp/B08BYRH9DR?ref=ppx_yo2ov_dt_b_fed_asin_title","From the UPS hat to the outside of the enclosure"
"Solar Power Only",,,,
,1,"Renogy Solar Panel 50W 12V","https://www.amazon.com/dp/B07GTH79JP?ref=ppx_yo2ov_dt_b_fed_asin_title","The size of solar panel(s) you need is highly dependent on your particular installation"
,1,"MC-4 connector cable","https://www.amazon.com/dp/B0DGXHB51D?ref=ppx_yo2ov_dt_b_fed_asin_title","You can cut off one end and attach a JST connector to connect to the UPS hat"
"Battery Power Only",,,,
,1,"External battery","https://www.amazon.com/dp/B0BVLPGS79?th=1","This battery is vast overkill but I already had it and it can itself be recharged using the solar panel"
,1,"Weatherproof plastic bin",,"This needs to house the battery outside – you can drill holes for the cabling and seal with the putty"
"Wired Power Only",,,,
,1,"Short micro-USB cable","https://www.amazon.com/CableCreation-Charger-Compatible-Chromecast-Android/dp/B013G4EAEI/ref=sr_1_3?dib=eyJ2IjoiMSJ9.U-BBEqJd3AwDr5q5D7_2XopoXCaiX4QFL6q5UqYwRfRhqAUoOp0aJWIgruR2z_VVLWGWrtiBGVO_Skvl69X4BchJgKJ_rZF0J1QmZSK4-IZdSY3edCv9tyS23LIV2Xx4IeFoqeynKWOztmzo4JNMyEgYiNJJjUFyqK523TEogxG--Js2QtJ1LXfgyjLvQ54t1eZ4Jp3Fh4fA8NcicGsIL634wfuJnyoy-Y88dFhRt3s.OymneUhu-ghdiELgHKKy9HZppRCUM8MrWPwRMXrb0q0&dib_tag=se&keywords=short+micro+usb+cable&qid=1776608668&sr=8-3",
,1,"Power-only external micro-USB cable","https://www.amazon.com/Itramax-Charging-Charger-Camera-Controller/dp/B07ZGCT7QB?crid=X48QK9PPHVML&dib=eyJ2IjoiMSJ9.4NXoP0H-iqRgnDnewN01TZVdNyUno9MGsKBISEm1U51aa18-SsiCWsfVnO7EcPC8mE-9nrR2fNeEX2XPR_f7arhqc-D4ct9nRWlcWMI-5RTdrY_J73S3dXaeuKs1kXYt_TMaU2MMYh3X9Rix-ehNRG49nIr0JMgqLaeKRRNVrsMXcnkw1-E0sxsedgq2c5vR5-EMXefkkrNyZogxRs4n6l2dvm7QCz4a73mztQDjkug.3T1OCR_ol-zzU9rfemszNoFU7T-eQBKxsJcK-eXRtAg&dib_tag=se&keywords=micro%2Busb%2Bpower%2Bcable%2Boutdoors&qid=1776608705&sprefix=micro%2Busb%2Bpower%2Bcable%2Boutdoo%2Caps%2C548&sr=8-3&th=1",
,1,"Extension cord",,"If no wall power is available close enough for the USB power cable"
,1,"USB power adapter",,
"Tools",,,,
,,"Acer SD Card Reader USB-C","https://www.amazon.com/dp/B0DQ71G4G4?ref=ppx_yo2ov_dt_b_fed_asin_title","Any SD card writer will do"
,,"A soldering iron","https://www.amazon.com/Hakko-FX888DX-010BY-Digital-Soldering-Station/dp/B0D4DJW54S/ref=sr_1_25?dib=eyJ2IjoiMSJ9.SXLqDE1eAX8VFEN_EgtkVh8Z5YJoeq2yVUvV7934pxEU5l6WQMu8vZzQpCdxZtWyFlReZWThWTDNV4-drLW0hEWxV-YjSKJqS3C3N9oOqYazUmtPuPVPyBjxhpAcImeuTxps2MbXehIMjSLrNFjeN_i4j31YfInaOgb1FCvpv47SB7ifQ50KW0uZQ0oiZoaqtGz3h969YlyJGsbrsYOwdAIv_-DTmztFd1gLY2Kp1BFLAQtiKp14jqM5kJ2q947dURYBS6WnklKijZl1GEdbXaK-i0qPhkWSkd_zg4dZb7M.2sOuvhbmhKPsptZs8ZwQteeiMDn6uUpUV3SmKZg4H90&dib_tag=se&keywords=soldering+iron&qid=1776607723&sr=8-25","A high quality soldering iron is essential for electronics"
,,"A Dremel or small hacksaw for cutting a notch in the project box","https://www.amazon.com/Dremel-4000-2-Kit-Engraver-Attachments-Accessories/dp/B0CWBM23HD?crid=34WZZ9P2E6ZNB&dib=eyJ2IjoiMSJ9.AyNeFEAHuJ1zCWta9g4jpruKnWHZwUFDrAc1SkYrr5dya52KKyNCLc7RtHxsNUNyQxKMSdbRyY3JFAcDIxhpcC45QBfZpANfYn36w1T72apnF7OXcGGvtvv1MnKREFxMaplY3AD-q-J_yH8PSidyLlOMFvxY8Sy2GhytmvNTk9w6nx2gDXvc-1um7bHNEH2B75MjDbq31vTube-T-LLyRmZ0s8eQr8F019cygqCdRaPQudy0ZkjAllhADR77hDMloGJSUYsyrsbVLf9G0i_o3FKaA4yIsG2QkrigI3P2pew.YnyGm4u5oTEHJzu1NbKYxhZQSoxObQPwxlUhXbVG2_o&dib_tag=se&keywords=dremel&qid=1776607890&sprefix=dremel%2Caps%2C325&sr=8-1&th=1","You’ll need the Dremel attachment for cutting plastic"
,,"Wire-strippers","https://www.amazon.com/Stripper-Stranded-Klein-Tools-11057/dp/B000XEUPMQ?crid=3COM0EIUDXS6L&dib=eyJ2IjoiMSJ9.mQmOWz4o9IrCY7UswfC3rp2Tp3bW93ABDpqQzBisPBSjAQ6-9wMIeodz1b7IrWxAQ_Zevhc5ztmx-1t6Wq0h4iA0VltCah7U-sSsRbYNWJR8vLJyw3EBR1bpeFE3oi0uliOYuhfslDxDoFthEwbOAkJEH4cXdXbcUzC1DKSHd8cNzSNuSSPwnUnAGKagXarGtEZpKGe4bXzowbNvVkjAeMgmFtWR2ynkUdcLzp7GaPXcEC9TiLzjZVghUO2nlC7BFFhNyhthUE-Ih068Us3uInG3bSt4DtGFUI-oypZjI00.Y30VUorPp1C7Hl7xeUN8tOIsc5sPPo41ZverFQzgRoI&dib_tag=se&keywords=wire%2Bstrippers%2B24awg&qid=1776608014&sprefix=wire%2Bstrippers%2B24%2Caps%2C282&sr=8-1&th=1","A good pair is essential for any electronics project – you need one to strip 24 AWG wire"
,,"Flush cutters","https://www.amazon.com/KNIPEX-Tools-78-125-Electronics/dp/B0048F601Q?crid=23CS45HBX5AN7&dib=eyJ2IjoiMSJ9.f26sCgeFcpVXxiFDi5SBOdPavcywc7JVga4La11tKC9nYjtdM9TQx9y35cWz7GNc9DPj5j2-AP9vHPm_4fjE-tIMFwmOi_S2D2sxeywRoU9TBvWaZRJHYjS2zcksBYZ1sgFmVOYvlLOmZ6RIvrycJQFeN1GFlIF287yGZYY0VgdoNFGF59CvuwRns37VOdF22QadC90l-_x4OLUqF2B66oqdIhfRuJ7sB70zRvLcBBZUkvy_gvHlshJp0N5tt64THNl6Ed3jiWddUTP1feLdDIPzWz_i_2AHJGYg7aXMn_I.-rVsRAfafln_sKmMfzh_2J3HKl2v_LTNMC6p-sLtcK0&dib_tag=se&keywords=flush%2Bcutters&qid=1776608055&sprefix=flush%2Bcutter%2Caps%2C281&sr=8-7&th=1","A good pair is essential for any electronics project"
,,"(Recommended) JST pin crimpers","https://www.amazon.com/dp/B00YGLKBSK?ref=ppx_yo2ov_dt_b_fed_asin_title","If making your own JST connectors"
,,"Hot glue gun","https://www.amazon.com/Gorilla-8401509-Hot-Glue-Sticks/dp/B07K791YRP?crid=1NP0MQ1UR5GKJ&dib=eyJ2IjoiMSJ9.GoEOyhXN6T0lRZzWC4BaVVYTGem_nJZGc_zejWTxFcd7kuHvpv23UldFXJzttTOxVqR-a1RVFxjQgjdFBS4EDuM0NiYk6x2j5S_t0qG6oz2Um4gKTok_exHRv0y0H0YqEvIwXcnuCj_MxEgh1gr-NCYMgWt1fy5IbsIrbb3SoFzNPfC5W7xSxDsIEPGwidctiibtz8mHTI1LCy66INYntOP6uddUnid1ipXxFbD_JYlGi5WQnuPmMN9vD22Xoho5uQt8lf61koKpLczD5ypZ_jr9dAHpD5tzktKFTE_L1Mo.g27T5zV6GD_-b0Bx9idrMV2PZf4alHb1LzWFHdD7NfE&dib_tag=se&keywords=hot%2Bglue%2Bgun&qid=1776608092&sprefix=hot%2Bglue%2Bgu%2Caps%2C241&sr=8-6&th=1","Like duct tape – so many uses"
,,"Hot air blower",,"For heat shrink tubing – a lighter also works but is not as effective"
,,"Drill and drill bits",,"For drilling holes in the birdhouse"
,,"Precision screwdrivers","https://www.amazon.com/Precision-Screwdriver-Phillips-Eyeglasses-Electronics/dp/B0FLDH6FF4?content-id=amzn1.sym.79bdef6c-11bf-4063-899e-6435a2730c0b%3Aamzn1.sym.79bdef6c-11bf-4063-899e-6435a2730c0b&crid=2FSOFRFWVC761&cv_ct_cx=precision+screwdriver+set&keywords=precision+screwdriver+set&pd_rd_i=B0FLDH6FF4&pd_rd_r=3c5880b6-4cd6-49fc-b07f-c65fe3a2e2af&pd_rd_w=Kik6H&pd_rd_wg=cSCW3&pf_rd_p=79bdef6c-11bf-4063-899e-6435a2730c0b&pf_rd_r=6FDBX40WHJSTHH2TS5YM&qid=1776608552&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=precision+screw%2Caps%2C288&sr=1-3-fe3e2451-1a8c-4091-ae99-af52f4a2bff2-spons&aref=86XC1XxAbS&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1","For the UPS hat connector"
,,"(Optional) A multimeter for debugging",,"A good multimeter is essential for any electronics project"
"Supplies",,,,
,,"(Recommended) Locking 2-pin JST connectors","https://www.amazon.com/dp/B07QKBKNC1?ref=ppx_yo2ov_dt_b_fed_asin_title","For making your own secure connectors"
,,"(Recommended) Locking 3-pin JST connectors","https://www.amazon.com/dp/B085RC16VK?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1",
,,"Duct seal compound","https://www.amazon.com/dp/B008A3UG94?ref=ppx_yo2ov_dt_b_fed_asin_title","Easy way to weatherproof the holes in the enclosure"
,,"Wire (26-AWG stranded)","https://www.amazon.com/dp/B01M4QBGRL?ref=ppx_yo2ov_dt_b_fed_asin_title","Get red, yellow, green, blue, and black"
,,"Adheasive Velcro","https://www.amazon.com/dp/B0B74YZVSN?ref=ppx_yo2ov_dt_b_fed_asin_title",
,,"Header pins","https://www.amazon.com/Jabinco-Breakable-Header-Connector-Arduino/dp/B0817JG3XN/ref=sr_1_2?crid=2ZH2VUBFYOWTL&dib=eyJ2IjoiMSJ9.Vo9UoNjgcbx6k9NAkCikzBaUKih5TnEdRav6Obkj0tfRvTgf0YI57mI1mUsHj42cO-MuYfPY7ZOrvNwiDE6GdREhkQ-mpfs6wMTjGlNVRIP0DEnQ9IYiNvXxX2anUTmMTCrVWswbKBUTv9pXRgfdrjmuylsFCP7dwQzGXcyUOiNGb5t9EEwyN6LsdEe-iw9YKsOUtBbQIXbKgYkFkJMyc7St_nFGj1MTp65FHsqQB5c.WbWc2H6adSbrvaxUBiALpmI21OtpBY5A_4EJgOVWNNY&dib_tag=se&keywords=header+pins&qid=1776606899&sprefix=header+pin%2Caps%2C273&sr=8-2",
,,"Female-Female jumper wires","https://www.amazon.com/California-JOS-Breadboard-Optional-Multicolored/dp/B0BRTJQGS6/ref=sr_1_3?crid=14IQG4YRCFI9C&dib=eyJ2IjoiMSJ9.zbKttyaTJORteMERh4nfEdNnX4bamHrCLekfBY1mCn8vnGICWOjbUWHopJGGizyIqBoQpvXjtDGOHVmRL_Cw8Wi6rIKKebjVTjnTFvDVIAjd3zW1M_E6S1M2MLOQ3dgrjRns7rVePyD6mrEx-BhgX3ySCO1_G-F41AqWRSUZD5_bmZoSYFsoAlpqH_qjWIWynEHHws30o_-QBCv2L0fDt68A1Rn4FEC0e8dlGVxS3WQ.EtQJFV60PX_JPj6NlviVwAZPlL8LCGaLiixC0OlKtAw&dib_tag=se&keywords=female+female+jumper+wires&qid=1776606861&sprefix=female+female+j%2Caps%2C263&sr=8-3","If not making your own with the JST connectors"
,,"Male-Female jumper wires","https://www.amazon.com/California-JOS-Breadboard-Optional-Multicolored/dp/B0BRTHR2RL?crid=1KA0ZI0W6TF9E&dib=eyJ2IjoiMSJ9.QGbaFF62mgZ1Tf0J7CajkMLozJc0dshFcrmAmcYlRqSuHy6PvA0Jz8ef70LB-XqbJVq6nNXHFATJIU_5EvgY3QKtNRKIN9LsXzHjYB6QqeQeJRUX0tDtG-IjSU9hj_ok1j16ToD897gUurjiIfIOGQ4Jm1Ao7vEc88YPvJGbSNoTGI7t4_IYn-9vrQsWBGmKsB8uyvekYiivNYR7iK6WRp3WSKuzrIp7_Eh79hCq2gQ.pu2ynTxLw3kNtT_pkJB4JNi0U-CcbEdRIq-2fK8zz-I&dib_tag=se&keywords=male%2Bfemale%2Bjumper%2Bwires&qid=1776606876&sprefix=male%2Bfemale%2Bjumper%2Bwires%2Caps%2C236&sr=8-4&th=1","If not making your own with the JST connectors"
,,"Gorilla Tape","https://www.amazon.com/Gorilla-Black-Duct-Tape-1-88/dp/B09D8GL5FL/ref=sr_1_1?crid=3KBI5SPQCYCLT&dib=eyJ2IjoiMSJ9.Zh_uqh8sDbAH7bE3f9NcgKJAp9ZQ33_BE_oDo4Rj4VcIJMfkTlUBGZGiWmaUEP5Rs-FjrBMtOlSc0gMUk7MXt6sBrPn7V9tXbVzdFqGtdF-4ojrHjiwU9J3pLa-nVjUK2QRtJZSNhA5gvVP3C8RChtDYgBHAR2oVH1TNCTEITLbEPv6_hJwCkI6yeZXjmNs4hIl8GhdXtIbunU2Phxwl04xw0YiKKId9ETq_TXCh154.kLdH2SU2vQJv-LOkNEviLf1QeZsuwtPZ4mPkkjKFp8A&dib_tag=se&keywords=gorilla+tape&qid=1776606938&sprefix=gorilla+tape%2Caps%2C262&sr=8-1",
,,"Heat shrink tubing","https://www.amazon.com/7-Size-Heat-Shrink-Tubing-Roll/dp/B0FRNM2MR5?crid=GVYRH1SLW2XN&dib=eyJ2IjoiMSJ9.aeWHYtergaaSeEKpveVHYmRBXQorLX4CcA_liyJnFyOU64LJJxogJOxoRIz05q0jDjf-AtfrU1j4BS6sLZPIxbO5CXUXv9sUu2nPLKPeGLkTLdSESbf1AsX-EFugflRCsgqxscpM9S-m2LslTUeFG7bH-HE6apx46852BsIliDh5UbFCVzkqBcdiN-YXVfdQWcMpvockt68Yb5a3jZJlKrd4wRpQxMxyAsvn_CdX_t0.JqJYnGHmJrDKPmOBekezJtnDpYYkQWn9TmemR8uObdE&dib_tag=se&keywords=heat%2Bshrink%2Btubing&qid=1776606958&sprefix=heat%2Bsh%2Caps%2C312&sr=8-16&th=1",
,,"Push pins","https://www.amazon.com/Amazon-Basics-Bulletin-Projects-200-Pack/dp/B07VKDSJJT?crid=334CNDAC788HY&dib=eyJ2IjoiMSJ9.c4LslVsTT9zjkH1gt-LidbG_RTHMGidFhsSjnMNtLUUS-JfYMw3F_K6K43By2rlLkPpjQ-Sa3-pWneEeNk0LSwqFyxIqtcbW9ChVZTOgk82rWeW-IhQrQUlRF8eo4GjLxqB5Q_gqIsQlLeaAoMIywwWYY28lnSuNMlmL_D7Qntqj8TS6nDwtx_Pj1jeeQL-w4xR_98nql5Kc7lXIBI7-k0KYvLPJOojAruSGV-c3pmKZfWMJjcbRSYHa16Ta-8OrsKOftpRyylxhMY_9N2JPnC8XXb_tWfA6fkBZVkcyH0U.4N_zXvpsuZxjrmlf6E5yzNRVMK27Xitpqj6uXEvzEbo&dib_tag=se&keywords=push%2Bpins&qid=1776607085&sprefix=push%2Bpi%2Caps%2C247&sr=8-6&th=1","For securing the camera to the roof – screws work also and are more secure"
,,"#4 wood screws","https://www.amazon.com/dp/B0FBFQL5TH?ref_=ppx_hzsearch_conn_dt_b_fed_asin_title_2","For connecting the enclosure to the box – get the length that works best for your setup"
,,"Solder","https://www.amazon.com/Rosin-Solder-Electronics-Components-repair/dp/B08M5YP6BN/ref=sr_1_5?crid=154D95IODEXY2&dib=eyJ2IjoiMSJ9.1auG7txKHr_Ypt03nDlE3GBnc7sY2E-8rs63Db2PLR-LYhmqpMf86-s07Z5GDmMKJnlzyk_7IUm4jg4OjNXbI9bLkZXZJ37hVqrHVxu95G0nS-vFFRpK3Za8wg-2FHRUTHiGwV_6MDygx8-wADEqbhTYQHM8zfHNuUP2wNHnzDtLfJVjFpIxPQQV4Nwn2vKqf7EynHJ6xNzHtBLLGeUa3wiA0ARgEt_ZQyJZ6UEZcyUhDZilGjT7Q2xjn-5r-6-XLgJMWyWdEoaO5VQD0zAr5_WsTiulAn9Lgsc0JJlcxxI.aXIBDyZh80u17LqlFZSI24f7zhoN9bLARIvYRS1VwbI&dib_tag=se&keywords=solder+for+electronics&qid=1776607794&sprefix=solder+for+ele%2Caps%2C263&sr=8-5","Use leaded solder since it is vastly easier – wash your hands after handling"
